distrito, concelho, freguesia, ano e mes, preco_m2
Porto,Vila Nova de Gaia,Avintes,Janeiro 2018,757
Porto,Vila Nova de Gaia,Avintes,Dezembro 2017,771
Porto,Vila Nova de Gaia,Avintes,Novembro 2017,801
Porto,Vila Nova de Gaia,Avintes,Outubro 2017,795
Porto,Vila Nova de Gaia,Avintes,Setembro 2017,808
Porto,Vila Nova de Gaia,Avintes,Agosto 2017,796
Porto,Vila Nova de Gaia,Avintes,Julho 2017,783
Porto,Vila Nova de Gaia,Avintes,Junho 2017,770
Porto,Vila Nova de Gaia,Avintes,Maio 2017,754
Porto,Vila Nova de Gaia,Avintes,Abril 2017,737
Porto,Vila Nova de Gaia,Avintes,Março 2017,756
Porto,Vila Nova de Gaia,Avintes,Fevereiro 2017,745
Porto,Vila Nova de Gaia,Avintes,Janeiro 2017,743
Porto,Vila Nova de Gaia,Avintes,Dezembro 2016,737
Porto,Vila Nova de Gaia,Avintes,Novembro 2016,728
Porto,Vila Nova de Gaia,Avintes,Outubro 2016,724
Porto,Vila Nova de Gaia,Avintes,Setembro 2016,718
Porto,Vila Nova de Gaia,Avintes,Agosto 2016,717
Porto,Vila Nova de Gaia,Avintes,Julho 2016,712
Porto,Vila Nova de Gaia,Avintes,Junho 2016,706
Porto,Vila Nova de Gaia,Avintes,Maio 2016,709
Porto,Vila Nova de Gaia,Avintes,Abril 2016,705
Porto,Vila Nova de Gaia,Avintes,Março 2016,705
Porto,Vila Nova de Gaia,Avintes,Fevereiro 2016,700
Porto,Vila Nova de Gaia,Avintes,Janeiro 2016,707
Porto,Vila Nova de Gaia,Avintes,Dezembro 2015,716
Porto,Vila Nova de Gaia,Avintes,Novembro 2015,720
Porto,Vila Nova de Gaia,Avintes,Outubro 2015,709
Porto,Vila Nova de Gaia,Avintes,Setembro 2015,683
Porto,Vila Nova de Gaia,Avintes,Agosto 2015,706
Porto,Vila Nova de Gaia,Avintes,Julho 2015,673
Porto,Vila Nova de Gaia,Avintes,Junho 2015,690
Porto,Vila Nova de Gaia,Avintes,Maio 2015,711
Porto,Vila Nova de Gaia,Avintes,Abril 2015,n.a.
Porto,Vila Nova de Gaia,Avintes,Março 2015,n.a.
