distrito, concelho, freguesia, ano e mes, preco_m2
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Fevereiro 2019,2.230
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Janeiro 2019,2.162
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Dezembro 2018,2.111
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Novembro 2018,2.043
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Outubro 2018,2.048
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Setembro 2018,2.045
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Agosto 2018,2.027
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Julho 2018,1.993
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Junho 2018,1.926
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Maio 2018,1.863
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Abril 2018,1.806
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Março 2018,1.730
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Fevereiro 2018,1.714
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Janeiro 2018,1.730
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Dezembro 2017,1.747
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Novembro 2017,1.695
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Outubro 2017,1.567
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Setembro 2017,1.474
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Agosto 2017,1.471
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Julho 2017,1.432
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Junho 2017,1.428
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Maio 2017,1.415
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Abril 2017,1.422
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Março 2017,1.433
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Fevereiro 2017,1.431
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Janeiro 2017,1.437
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Dezembro 2016,1.417
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Novembro 2016,1.386
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Outubro 2016,1.370
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Setembro 2016,1.329
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Agosto 2016,1.373
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Julho 2016,1.389
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Junho 2016,1.365
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Maio 2016,1.381
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Abril 2016,1.394
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Março 2016,1.397
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Fevereiro 2016,1.384
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Janeiro 2016,1.360
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Dezembro 2015,1.347
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Novembro 2015,1.340
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Outubro 2015,1.334
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Setembro 2015,1.347
Porto,Matosinhos,Matosinhos e Leça da Palmeira,Agosto 2015,1.392
