distrito, concelho, freguesia, ano e mes, preco_m2
Lisboa,Lisboa,Alcântara,Abril 2017,2.634
Lisboa,Lisboa,Alcântara,Março 2017,2.574
Lisboa,Lisboa,Alcântara,Fevereiro 2017,2.662
Lisboa,Lisboa,Alcântara,Janeiro 2017,2.789
Lisboa,Lisboa,Alcântara,Dezembro 2016,2.700
Lisboa,Lisboa,Alcântara,Novembro 2016,2.704
Lisboa,Lisboa,Alcântara,Outubro 2016,2.697
Lisboa,Lisboa,Alcântara,Setembro 2016,2.794
Lisboa,Lisboa,Alcântara,Agosto 2016,2.843
Lisboa,Lisboa,Alcântara,Julho 2016,2.843
Lisboa,Lisboa,Alcântara,Junho 2016,2.942
Lisboa,Lisboa,Alcântara,Maio 2016,2.924
Lisboa,Lisboa,Alcântara,Abril 2016,2.954
Lisboa,Lisboa,Alcântara,Março 2016,3.041
Lisboa,Lisboa,Alcântara,Fevereiro 2016,3.123
Lisboa,Lisboa,Alcântara,Janeiro 2016,3.060
Lisboa,Lisboa,Alcântara,Dezembro 2015,2.877
Lisboa,Lisboa,Alcântara,Novembro 2015,2.638
Lisboa,Lisboa,Alcântara,Outubro 2015,2.734
Lisboa,Lisboa,Alcântara,Setembro 2015,2.513
Lisboa,Lisboa,Alcântara,Agosto 2015,2.564
Lisboa,Lisboa,Alcântara,Julho 2015,2.215
Lisboa,Lisboa,Alcântara,Junho 2015,2.138
Lisboa,Lisboa,Alcântara,Maio 2015,2.439
Lisboa,Lisboa,Alcântara,Abril 2015,2.272
Lisboa,Lisboa,Alcântara,Março 2015,2.733
Lisboa,Lisboa,Alcântara,Fevereiro 2015,2.654
Lisboa,Lisboa,Alcântara,Janeiro 2015,2.612
Lisboa,Lisboa,Alvalade,Dezembro 2019,4.700
Lisboa,Lisboa,Alvalade,Novembro 2019,4.639
Lisboa,Lisboa,Alvalade,Outubro 2019,4.641
Lisboa,Lisboa,Alvalade,Setembro 2019,4.625
Lisboa,Lisboa,Alvalade,Agosto 2019,4.586
Lisboa,Lisboa,Alvalade,Julho 2019,4.661
Lisboa,Lisboa,Alvalade,Junho 2019,4.735
Lisboa,Lisboa,Alvalade,Maio 2019,4.750
Lisboa,Lisboa,Alvalade,Abril 2019,4.710
Lisboa,Lisboa,Alvalade,Março 2019,4.538
Lisboa,Lisboa,Alvalade,Fevereiro 2019,4.349
Lisboa,Lisboa,Alvalade,Janeiro 2019,4.179
Lisboa,Lisboa,Alvalade,Dezembro 2018,4.127
Lisboa,Lisboa,Alvalade,Novembro 2018,4.103
Lisboa,Lisboa,Alvalade,Outubro 2018,4.118
Lisboa,Lisboa,Alvalade,Setembro 2018,4.159
Lisboa,Lisboa,Alvalade,Agosto 2018,4.099
Lisboa,Lisboa,Alvalade,Julho 2018,4.027
Lisboa,Lisboa,Alvalade,Junho 2018,4.004
Lisboa,Lisboa,Alvalade,Maio 2018,3.968
Lisboa,Lisboa,Alvalade,Abril 2018,3.756
Lisboa,Lisboa,Alvalade,Março 2018,3.772
Lisboa,Lisboa,Alvalade,Fevereiro 2018,3.739
Lisboa,Lisboa,Alvalade,Janeiro 2018,3.740
Lisboa,Lisboa,Alvalade,Dezembro 2017,3.651
Lisboa,Lisboa,Alvalade,Novembro 2017,3.590
Lisboa,Lisboa,Alvalade,Outubro 2017,3.518
Lisboa,Lisboa,Alvalade,Setembro 2017,3.481
Lisboa,Lisboa,Alvalade,Agosto 2017,3.424
Lisboa,Lisboa,Alvalade,Julho 2017,3.393
Lisboa,Lisboa,Alvalade,Junho 2017,3.243
Lisboa,Lisboa,Alvalade,Maio 2017,3.169
Lisboa,Lisboa,Alvalade,Abril 2017,3.116
Lisboa,Lisboa,Alvalade,Março 2017,3.044
Lisboa,Lisboa,Alvalade,Fevereiro 2017,3.038
Lisboa,Lisboa,Alvalade,Janeiro 2017,3.052
Lisboa,Lisboa,Alvalade,Dezembro 2016,3.053
Lisboa,Lisboa,Alvalade,Novembro 2016,3.079
Lisboa,Lisboa,Alvalade,Outubro 2016,3.053
Lisboa,Lisboa,Alvalade,Setembro 2016,3.002
Lisboa,Lisboa,Alvalade,Agosto 2016,2.916
Lisboa,Lisboa,Alvalade,Julho 2016,2.846
