distrito, concelho, freguesia, ano, mes, preco_m2
Braga,Braga,Arentim e Cunha,Dezembro 2016,n.a.
Braga,Braga,Arentim e Cunha,Novembro 2016,n.a.
Braga,Braga,Arentim e Cunha,Outubro 2016,n.a.
Braga,Braga,Arentim e Cunha,Setembro 2016,n.a.
Braga,Braga,Arentim e Cunha,Agosto 2016,n.a.
Braga,Braga,Arentim e Cunha,Julho 2016,n.a.
Braga,Braga,Arentim e Cunha,Junho 2016,n.a.
Braga,Braga,Arentim e Cunha,Maio 2016,n.a.
Braga,Braga,Arentim e Cunha,Abril 2016,n.a.
Braga,Braga,Arentim e Cunha,Março 2016,n.a.
Braga,Braga,Arentim e Cunha,Fevereiro 2016,n.a.
Braga,Braga,Arentim e Cunha,Janeiro 2016,n.a.
Braga,Braga,Arentim e Cunha,Dezembro 2015,n.a.
Braga,Braga,Arentim e Cunha,Novembro 2015,n.a.
Braga,Braga,Arentim e Cunha,Outubro 2015,n.a.
Braga,Braga,Arentim e Cunha,Setembro 2015,n.a.
Braga,Braga,Arentim e Cunha,Agosto 2015,n.a.
Braga,Braga,Arentim e Cunha,Julho 2015,n.a.
Braga,Braga,Arentim e Cunha,Junho 2015,n.a.
Braga,Braga,Arentim e Cunha,Maio 2015,n.a.
Braga,Braga,Arentim e Cunha,Abril 2015,n.a.
Braga,Braga,Arentim e Cunha,Março 2015,n.a.
Braga,Braga,Arentim e Cunha,Fevereiro 2015,n.a.
Braga,Braga,Arentim e Cunha,Janeiro 2015,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Dezembro 2019,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Novembro 2019,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Outubro 2019,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Setembro 2019,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Agosto 2019,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Julho 2019,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Junho 2019,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Maio 2019,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Abril 2019,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Março 2019,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Fevereiro 2019,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Janeiro 2019,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Dezembro 2018,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Novembro 2018,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Outubro 2018,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Setembro 2018,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Agosto 2018,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Julho 2018,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Junho 2018,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Maio 2018,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Abril 2018,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Março 2018,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Fevereiro 2018,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Janeiro 2018,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Dezembro 2017,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Novembro 2017,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Outubro 2017,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Setembro 2017,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Agosto 2017,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Julho 2017,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Junho 2017,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Maio 2017,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Abril 2017,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Março 2017,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Fevereiro 2017,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Janeiro 2017,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Dezembro 2016,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Novembro 2016,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Outubro 2016,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Setembro 2016,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Agosto 2016,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Julho 2016,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Junho 2016,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Maio 2016,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Abril 2016,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Março 2016,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Fevereiro 2016,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Janeiro 2016,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Dezembro 2015,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Novembro 2015,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Outubro 2015,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Setembro 2015,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Agosto 2015,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Julho 2015,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Junho 2015,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Maio 2015,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Abril 2015,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Março 2015,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Fevereiro 2015,n.a.
Braga,Braga,Cabreiros e Passos (São Julião),Janeiro 2015,n.a.
Braga,Braga,Celeirós - Aveleda - Vimieiro,Dezembro 2019,898
